K,Source Device ID,Time_90,Chunk Copies,% Devices Reached
44,8760,inf,684,39.756
44,100,inf,1502,87.232
44,553,inf,1509,87.638
44,7243,inf,963,55.949
44,846,inf,1507,87.522
44,1053,inf,1488,86.419
44,525,inf,1183,68.717
44,10976,inf,462,26.872
44,8264,inf,970,56.355
44,4463,inf,159,9.286
44,3481,inf,909,52.815
45,3476,inf,961,55.833
45,11071,inf,220,12.826
45,155,inf,1296,75.276
45,1598,inf,174,10.157
45,8344,inf,643,37.377
45,2046,inf,1522,88.392
45,7393,inf,380,22.113
45,8350,inf,643,37.377
45,1325,inf,1403,81.486
45,9334,inf,149,8.706
45,1977,inf,1486,86.303
45,1059,inf,1512,87.812
45,706,inf,966,56.123
45,8757,inf,688,39.988
45,20,inf,1505,87.406
45,2812,inf,1341,77.887
45,2057,inf,1192,69.240
45,11056,inf,221,12.885
45,11560,inf,560,32.559
45,157,inf,1298,75.392
45,762,inf,916,53.221
45,1117,inf,771,44.806
45,2620,inf,1399,81.254
45,3279,inf,1199,69.646
45,8736,inf,689,40.046
45,5687,inf,1406,81.660
45,1452,inf,294,17.121
45,2631,inf,1357,78.816
45,6812,inf,1128,65.525
45,4705,inf,1181,68.601
45,6561,inf,1492,86.651
45,1040,inf,951,55.252
45,7241,inf,969,56.297
45,858,inf,1461,84.852
45,10435,inf,706,41.033
45,8384,inf,640,37.203
45,1071,inf,824,47.882
45,1394,inf,1228,71.329
45,792,inf,652,37.899
45,7779,inf,1524,88.508
45,10690,inf,1415,82.182
45,1356,inf,1265,73.476
45,8481,inf,143,8.358
45,11867,inf,10,0.638
45,4571,inf,142,8.299
45,9822,inf,649,37.725
45,8348,inf,643,37.377
45,4808,inf,973,56.529
45,8315,inf,651,37.841
45,541,inf,1531,88.915
45,2452,inf,881,51.190
45,265,inf,1247,72.432
45,2613,inf,1399,81.254
45,11870,inf,10,0.638
45,5349,inf,831,48.288
45,1189,inf,924,53.685
45,4702,inf,1049,60.940
45,2616,inf,1399,81.254
45,7261,inf,970,56.355
45,2683,inf,1365,79.280
45,4720,inf,1031,59.896
45,1208,inf,917,53.279
45,9547,inf,389,22.635
45,2205,inf,1529,88.799
45,7588,inf,1534,89.089
45,1400,inf,415,24.144
45,6676,inf,1462,84.910
45,1244,inf,665,38.654
45,6610,inf,1478,85.839
45,206,inf,1266,73.535
45,135,inf,1302,75.624
45,3289,inf,1158,67.266
45,2553,inf,867,50.377
45,4044,inf,1495,86.825
45,41,inf,1535,89.147
45,250,inf,1284,74.579
45,8368,inf,645,37.493
45,8487,inf,142,8.299
45,1470,inf,294,17.121
45,2671,inf,1466,85.142
45,7419,inf,364,21.184
45,317,inf,1212,70.400
45,961,inf,1491,86.593
45,11102,inf,218,12.710
45,6064,inf,1275,74.057
45,638,inf,1210,70.284
45,280,inf,1242,72.142
45,9569,inf,15,0.929
45,1655,inf,169,9.867
45,8760,inf,688,39.988
45,100,inf,1510,87.696
45,553,inf,1518,88.160
45,7243,inf,969,56.297
45,846,inf,1515,87.986
45,1053,inf,1501,87.174
45,525,inf,1188,69.008
45,10976,inf,464,26.988
45,8264,inf,974,56.587
45,4463,inf,159,9.286
45,3481,inf,913,53.047
46,3476,inf,965,56.065
46,11071,inf,222,12.943
46,155,inf,1304,75.740
46,1598,inf,175,10.215
46,8344,inf,647,37.609
46,2046,inf,1531,88.915
46,7393,inf,380,22.113
46,8350,inf,647,37.609
46,1325,inf,1408,81.776
46,9334,inf,149,8.706
46,1977,inf,1493,86.709
46,1059,inf,1522,88.392
46,706,inf,970,56.355
46,8757,inf,692,40.221
46,20,inf,1514,87.928
46,2812,inf,1347,78.236
46,2057,inf,1198,69.588
46,11056,inf,223,13.001
46,11560,inf,563,32.734
46,157,inf,1305,75.798
46,762,inf,921,53.511
46,1117,inf,775,45.038
46,2620,inf,1409,81.834
46,3279,inf,1205,69.994
46,8736,inf,693,40.279
